,N,exovarsize,dovar,seed,method,time,query_time,size
0,2,6,0,1234,CVE,0.9337,0.9265000000000001,0.0
1,2,6,0,1234,CCVE,54.834,1.9708,0.0
2,2,6,0,1234,CCALP,54.286199999999994,52.7923,0.0
3,2,6,0,1234,CCALPeps,219.6364,217.86399999999998,2.1315224431828207e-06
4,3,6,0,1234,CVE,0.9688000000000001,0.9599,0.0
5,3,6,0,1234,CCVE,86.9091,3.6865,0.0
6,3,6,0,1234,CCALP,143.4,141.3986,1.1102230246251565e-16
7,3,6,0,1234,CCALPeps,604.0889,602.3152,3.110291534014209e-06
8,4,6,0,1234,CVE,1.4140000000000001,1.3961999999999999,0.0
9,4,6,0,1234,CCVE,114.7578,10.1186,0.0
10,4,6,0,1234,CCALP,218.1262,215.78029999999998,0.0
11,4,6,0,1234,CCALPeps,1203.7365,1201.6915,3.0799928085190054e-06
12,5,6,0,1234,CVE,1.9137,1.8992,0.0
13,5,6,0,1234,CCVE,143.4954,24.4179,0.0
14,5,6,0,1234,CCALP,277.4001,275.0415,0.0
15,5,6,0,1234,CCALPeps,2192.8939,2190.6591,5.45184871773019e-06
16,6,6,0,1234,CVE,2.9793,2.9726,0.0
17,6,6,0,1234,CCVE,222.4033,94.4616,0.0
18,6,6,0,1234,CCALP,349.7393,347.1741,0.0
19,6,6,0,1234,CCALPeps,3628.3396000000002,3625.7699999999995,6.2261805237273645e-06
20,7,6,0,1234,CVE,7.8406,7.8322,0.0
21,7,6,0,1234,CCVE,702.2642,551.9376,0.0
22,7,6,0,1234,CCALP,414.6762,412.3579,0.0
23,7,6,0,1234,CCALPeps,5187.3505,5184.673,7.67141010551975e-06
24,8,6,0,1234,CVE,28.418,28.4079,0.0
25,8,6,0,1234,CCVE,3139.1567999999997,2976.3162,0.0
26,8,6,0,1234,CCALP,494.5963,492.06139999999994,1.1102230246251565e-16
27,8,6,0,1234,CCALPeps,7117.923699999999,7114.880499999999,5.356405456069524e-06
28,9,6,0,1234,CVE,139.2963,139.2832,0.0
29,9,6,0,1234,CCVE,16375.132300000001,16191.8312,0.0
30,9,6,0,1234,CCALP,597.2206,594.4569,1.1102230246251565e-16
31,9,6,0,1234,CCALPeps,9585.1273,9582.0757,9.85690411324791e-06
32,10,6,0,1234,CVE,707.0541000000001,707.0391999999999,0.0
33,10,6,0,1234,CCVE,80451.6398,80255.0905,0.0
34,10,6,0,1234,CCALP,668.5754,665.6724,5.551115123125783e-17
35,10,6,0,1234,CCALPeps,12693.329,12690.2511,7.134527963204018e-06
36,11,6,0,1234,CVE,4178.7562,4178.7373,0.0
37,11,6,0,1234,CCVE,inf,inf,
38,11,6,0,1234,CCALP,820.1962,816.3311,2.7755575615628914e-17
39,11,6,0,1234,CCALPeps,16039.0399,16035.4808,6.501786909632324e-06
