,N,dovar,obsvar,seed,method,time,query_time,size,lowerbound,upperbound
0,5,0,-1,1234,CVE,1.8293,1.807,0.0,0.7909377756936551,0.7909377756936551
1,5,0,-1,1234,CCVE,82.03150000000001,7.945600000000001,0.0,0.7909377756936552,0.7909377756936552
2,5,0,-1,1234,CCALPeps,751.4406,748.9181,4.0498719822146255e-09,0.7654994225007514,0.7654994265506234
3,7,0,-1,1234,CVE,2.6026,2.5793,0.0,0.037857448281030284,0.037857448281030284
4,7,0,-1,1234,CCVE,115.03519999999999,20.7963,0.0,0.037857448281030284,0.037857448281030284
5,7,0,-1,1234,CCALPeps,1260.7854,1258.0397,6.748455201155413e-07,0.05650111964923242,0.056501794494752546
6,9,0,-1,1234,CVE,5.039199999999999,5.0166,0.0,0.6291273067323413,0.6291273067323413
7,9,0,-1,1234,CCVE,205.3702,96.75559999999999,0.0,0.6291273067323413,0.6291273067323413
8,9,0,-1,1234,CCALPeps,2204.4863,2201.3301,2.4663995237261813e-07,0.6290940778485274,0.6290943244884798
9,11,0,-1,1234,CVE,13.672300000000002,13.652700000000001,0.0,0.11468758341717825,0.11468758341717825
10,11,0,-1,1234,CCVE,471.1253,361.9228,0.0,0.1146875834171783,0.1146875834171783
11,11,0,-1,1234,CCALPeps,2179.8892,2176.5652999999998,8.99977301557775e-08,0.12000068000047992,0.12000076999821008
12,13,0,-1,1234,CVE,57.262800000000006,57.2374,0.0,0.42714177008688914,0.42714177008688914
13,13,0,-1,1234,CCVE,33226.2465,33089.2625,0.029511075957535236,0.414626744228687,0.4441378201862222
14,13,0,-1,1234,CCALPeps,4359.2269,4355.0195,0.019393543562305132,0.41810545692292705,0.43749900048523216
15,15,0,-1,1234,CVE,305.3082,305.27750000000003,0.0,0.7968882226564261,0.7968882226564261
16,15,0,-1,1234,CCVE,16994.1232,16816.5761,0.11357791207191362,0.6942166069538149,0.8077945190257285
17,15,0,-1,1234,CCALPeps,4386.1159,4381.938499999999,0.0960319292892254,0.7029876920893756,0.799019621378601
18,17,0,-1,1234,CVE,1831.2107,1831.1623,0.0,0.9088056177596686,0.9088056177596686
19,17,0,-1,1234,CCVE,83289.1296,83127.5382,0.0,0.9088056177596686,0.9088056177596686
20,17,0,-1,1234,CCALPeps,5705.5978000000005,5701.4649,1.4377977719526314e-08,0.9089323338923098,0.9089323482702876
21,19,0,-1,1234,CVE,10997.1071,10997.0609,0.0,0.07217086926466801,0.07217086926466801
22,19,0,-1,1234,CCVE,inf,inf,,,
23,19,0,-1,1234,CCALPeps,6429.2928,6424.599,1.4216467621175344e-08,0.07212761196614996,0.07212762618261759
24,21,0,-1,1234,CVE,,,,,
25,21,0,-1,1234,CCVE,inf,inf,,,
26,21,0,-1,1234,CCALPeps,7060.243700000001,7054.759,5.271158465269821e-09,0.5140340263529365,0.5140340316240949
27,23,0,-1,1234,CVE,,,,,
28,23,0,-1,1234,CCVE,inf,inf,,,
29,23,0,-1,1234,CCALPeps,8027.032099999999,8021.2515,3.3306690738754696e-16,0.7899993200008798,0.7899993200008801
30,25,0,-1,1234,CVE,,,,,
31,25,0,-1,1234,CCVE,inf,inf,,,
32,25,0,-1,1234,CCALPeps,8818.2171,8811.668,7.771561172376096e-16,0.48885542804310245,0.4888554280431032
33,27,0,-1,1234,CVE,,,,,
34,27,0,-1,1234,CCVE,inf,inf,,,
35,27,0,-1,1234,CCALPeps,9485.5172,9478.167,8.493206138382448e-16,0.4952533388301775,0.4952533388301784
36,29,0,-1,1234,CVE,,,,,
37,29,0,-1,1234,CCVE,inf,inf,,,
38,29,0,-1,1234,CCALPeps,10105.4179,10096.4171,4.440892098500626e-16,0.7199995600004399,0.7199995600004403
