,N,exovarsize,dovar,seed,method,time,query_time,size
0,2,6,0,1234,CVE,1.4381,1.4288,0.0
1,2,6,0,1234,CCVE,37.175799999999995,1.8123,0.0
2,2,6,0,1234,CCALP,58.8304,57.497699999999995,2.7755575615628914e-17
3,2,6,0,1234,CCALPeps,159.0303,157.6934,2.5676038465649587e-06
4,3,6,0,1234,CVE,1.1611,1.1521000000000001,0.0
5,3,6,0,1234,CCVE,70.1768,4.1692,0.0
6,3,6,0,1234,CCALP,160.2235,157.4494,0.0
7,3,6,0,1234,CCALPeps,311.6313,309.75030000000004,3.22995222997724e-06
8,4,6,0,1234,CVE,1.6995,1.6895,0.0
9,4,6,0,1234,CCVE,72.0232,4.9933,0.0
10,4,6,0,1234,CCALP,155.5711,152.27870000000001,0.0
11,4,6,0,1234,CCALPeps,581.3507000000001,579.1928,3.2312098494372e-06
