,N,exovarsize,dovar,seed,method,time,query_time,size
0,6,6,0,1234,CVE,3.4461,3.4313000000000002,0.0
1,6,6,0,1234,CCVE,197.043,100.0681,0.0
2,6,6,0,1234,CCALP,204.9299,201.0727,0.0
3,6,6,0,1234,CCALPeps,409.7151,406.325,6.000014998919223e-06
4,7,6,0,1234,CVE,7.901000000000001,7.887300000000001,0.0
5,7,6,0,1234,CCVE,inf,inf,
6,7,6,0,1234,CCALP,231.90750000000003,227.9998,0.0
7,7,6,0,1234,CCALPeps,540.3135,536.175,7.000020998687573e-06
8,8,6,0,1234,CVE,18.7224,18.704,0.0
9,8,6,0,1234,CCVE,,,
10,8,6,0,1234,CCALP,260.12649999999996,255.6021,1.1102230246251565e-16
11,8,6,0,1234,CCALPeps,671.5534,667.7653,8.000027998700255e-06
12,9,6,0,1234,CVE,82.3657,82.3461,0.0
13,9,6,0,1234,CCVE,,,
14,9,6,0,1234,CCALP,285.7835,281.3232,1.1102230246251565e-16
15,9,6,0,1234,CCALPeps,769.6375,766.034,9.000035998740774e-06
16,10,6,0,1234,CVE,541.6342000000001,541.6168,0.0
17,10,6,0,1234,CCVE,,,
18,10,6,0,1234,CCALP,310.20259999999996,305.492,2.2204460492503132e-17
19,10,6,0,1234,CCALPeps,848.5879000000001,844.5861000000001,1.0000044998836887e-05
20,11,6,0,1234,CVE,inf,inf,
21,11,6,0,1234,CCVE,,,
22,11,6,0,1234,CCALP,351.7266,346.74570000000006,2.7755575615628914e-17
23,11,6,0,1234,CCALPeps,inf,inf,
24,12,6,0,1234,CVE,,,
25,12,6,0,1234,CCVE,,,
26,12,6,0,1234,CCALP,388.2652,382.5629,2.220446049250313e-16
27,12,6,0,1234,CCALPeps,,,
28,13,6,0,1234,CVE,,,
29,13,6,0,1234,CCVE,,,
30,13,6,0,1234,CCALP,409.589,404.4442,1.1102230246251565e-16
31,13,6,0,1234,CCALPeps,,,
32,14,6,0,1234,CVE,,,
33,14,6,0,1234,CCVE,,,
34,14,6,0,1234,CCALP,437.416,431.5488,0.0
35,14,6,0,1234,CCALPeps,,,
