,N,dovar,target,obsvar,seed,method,time,query_time,size,lowerbound,upperbound
0,5,0,-1,,1234,CVE,1.5710000000000002,1.5485,0.0,0.6290950000000001,0.6290950000000001
1,5,0,-1,,1234,CCVE,84.23859999999999,8.2042,0.0,0.6290949999999998,0.6290949999999998
2,5,0,-1,,1234,CCALP,233.6712,231.30479999999997,1.1102230246251565e-16,0.629095,0.6290950000000001
3,5,0,-1,,1234,CCALPeps,561.9398,559.3783000000001,4.750316408153044e-06,0.6290924730087994,0.6290972233252077
4,7,0,-1,,1234,CVE,2.4655,2.4449,0.0,0.17013825,0.17013825
5,7,0,-1,,1234,CCVE,116.97970000000001,19.426099999999998,0.0,0.17013825,0.17013825
6,7,0,-1,,1234,CCALP,354.5647,351.9134,1.9428902930940238e-17,0.17013825,0.17013825
7,7,0,-1,,1234,CCALPeps,903.6109,900.7756999999999,6.73414067490219e-06,0.1701339022360361,0.170140636376711
8,9,0,-1,,1234,CVE,4.0168,3.9948,0.0,0.90893402,0.90893402
9,9,0,-1,,1234,CCVE,203.6746,97.1846,0.0,0.90893402,0.90893402
10,9,0,-1,,1234,CCALP,487.14259999999996,484.1483,0.0,0.90893402,0.90893402
11,9,0,-1,,1234,CCALPeps,1529.183,1525.7473,8.985642647652004e-06,0.9089315286581435,0.908940514300791
12,11,0,-1,,1234,CVE,8.7042,7.1845,0.0,0.4675296000000003,0.4675296000000003
13,11,0,-1,,1234,CCVE,440.84430000000003,332.9462,0.0,0.46752960000000005,0.46752960000000005
14,11,0,-1,,1234,CCALP,635.8187,632.3126,5.551115123125783e-17,0.46752959999999993,0.46752960000000005
15,11,0,-1,,1234,CCALPeps,1852.0865000000001,1848.904,1.0997938250800754e-05,0.4675244934964473,0.4675354914346982
16,13,0,-1,,1234,CVE,29.786,29.7634,0.0,0.9443150068352001,0.9443150068352001
17,13,0,-1,,1234,CCVE,3168.2012,3033.1732,0.0010630919519999393,0.94380051642656,0.94486360837856
18,13,0,-1,,1234,CCALP,788.1247999999999,784.5697,0.00012772724889601462,0.944278242612224,0.94440596986112
19,13,0,-1,,1234,CCALPeps,2695.1265,2691.3918999999996,0.00013482031785694293,0.9442695793201219,0.9444043996379788
20,15,0,-1,,1234,CVE,129.1404,129.1097,0.0,0.715846112530432,0.715846112530432
21,15,0,-1,,1234,CCVE,16190.2823,16045.391500000002,4.543128000467078e-07,0.715845775255504,0.715846229568304
22,15,0,-1,,1234,CCALP,929.4925999999999,925.79,2.3048063990671608e-07,0.715845887171584,0.715846117652224
23,15,0,-1,,1234,CCALPeps,3246.754,3242.7164000000002,1.476962813892202e-05,0.7158414261439758,0.7158561957721148
24,17,0,-1,,1234,CVE,748.663,748.6351999999999,0.0,0.3740507021035638,0.3740507021035638
25,17,0,-1,,1234,CCVE,77735.8211,77564.6017,0.0,0.3740507021035638,0.3740507021035638
26,17,0,-1,,1234,CCALP,1246.2344,1241.5982,0.0,0.37405070210356384,0.37405070210356384
27,17,0,-1,,1234,CCALPeps,3900.3324999999995,3895.9337,1.7000123155669344e-05,0.3740407321065023,0.37405773222965794
28,19,0,-1,,1234,CVE,5373.267,5373.2248,0.0,0.44975448167562726,0.44975448167562726
29,19,0,-1,,1234,CCVE,inf,inf,,,
30,19,0,-1,,1234,CCALP,1456.7636,1452.3968,0.0,0.44975448167562737,0.44975448167562737
31,19,0,-1,,1234,CCALPeps,4448.7525000000005,4443.9253,1.900016648814229e-05,0.4497444813617557,0.44976348152824386
32,21,0,-1,,1234,CVE,30397.5807,30397.5365,0.0,0.13277577942405916,0.13277577942405916
33,21,0,-1,,1234,CCVE,inf,inf,,,
34,21,0,-1,,1234,CCALP,1655.4047999999998,1650.3223000000003,2.498001805406602e-16,0.13277577942405913,0.13277577942405938
35,21,0,-1,,1234,CCALPeps,5424.0377,5417.798199999999,2.1000209519650424e-05,0.13275819872771827,0.1327791989372379
36,23,0,-1,,1234,CVE,,,,,
37,23,0,-1,,1234,CCVE,inf,inf,,,
38,23,0,-1,,1234,CCALP,1876.6761999999999,1871.5664000000002,9.992007221626409e-17,0.24428481867647994,0.24428481867648003
39,23,0,-1,,1234,CCALPeps,5711.5359,5705.959199999999,2.300025300067954e-05,0.24426798725722043,0.2442909875102211
40,25,0,-1,,1234,CVE,,,,,
41,25,0,-1,,1234,CCVE,inf,inf,,,
42,25,0,-1,,1234,CCALP,2187.4664000000002,2180.2518,0.0,0.6116882269101149,0.6116882269101149
43,25,0,-1,,1234,CCALPeps,6518.4580000000005,6511.9316,2.500028524151654e-05,0.6116782703957426,0.6117032706809842
44,27,0,-1,,1234,CVE,,,,,
45,27,0,-1,,1234,CCVE,inf,inf,,,
46,27,0,-1,,1234,CCALP,2499.5755,2491.5405,0.0,0.9808,0.9808
47,27,0,-1,,1234,CCALPeps,7792.9451,7785.3583,2.69827506542919e-05,0.9807985563690764,0.9808255391197307
48,29,0,-1,,1234,CVE,,,,,
49,29,0,-1,,1234,CCVE,inf,inf,,,
50,29,0,-1,,1234,CCALP,2596.6565,2589.1714,2.7755575615628914e-17,0.1568083808,0.15680838080000004
51,29,0,-1,,1234,CCALPeps,8749.367699999999,8741.9066,2.8887776409611265e-05,0.15678455860380106,0.15681344638021066
