,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,lowerbound1,lowerbound2,upperbound0,upperbound1,upperbound2
0,3,0,-1,3,1234,CVE,2.3031999999999995,1.8701999999999999,0.15680000000000002,0.00012307692307692307,0.04307692307692308,0.15680000000000002,0.00012307692307692307,0.04307692307692308
1,3,0,-1,3,1234,CCVE,101.6874,4.3576,0.1568,0.00012307692307692307,0.043076923076923075,0.1568,0.00012307692307692307,0.043076923076923075
2,3,0,-1,3,1234,CCALPeps,3325.8626000000004,3322.9412,0.15677064061234808,0.00012524708594302444,0.04310411230170881,0.1567706406123482,0.0001252470859430246,0.04310411230170892
3,5,0,-1,3,1234,CVE,9.349,8.734800000000002,0.05097135468262824,0.1426964347164145,0.0063322106009572774,0.05097135468262824,0.1426964347164145,0.0063322106009572774
4,5,0,-1,3,1234,CCVE,224.6166,75.5782,0.050971354682628235,0.14269643471641452,0.006332210600957277,0.050971354682628235,0.14269643471641452,0.006332210600957277
5,5,0,-1,3,1234,CCALPeps,12001.2848,11997.009600000001,0.050980391480443366,0.14266632487106454,0.006353283648492002,0.050980391480443435,0.14266632487106462,0.0063532836484920235
6,7,0,-1,3,1234,CVE,196.85,196.1528,0.052044660953410926,0.05305128115982063,0.09490405788676845,0.052044660953410926,0.05305128115982063,0.09490405788676845
7,7,0,-1,3,1234,CCVE,4776.2802,4575.5671999999995,0.05204466095341091,0.05305128115982063,0.09490405788676845,0.05204466095341091,0.05305128115982063,0.09490405788676845
8,7,0,-1,3,1234,CCALPeps,17986.250999999997,17980.6534,0.05206595251804821,0.05307172274852386,0.09486232473342776,0.05206595251804832,0.053071722748523995,0.09486232473342793
9,9,0,-1,3,1234,CVE,16531.409200000002,16530.549,0.028159582806172073,0.15257560569919248,0.019264811494635447,0.028159582806172073,0.15257560569919248,0.019264811494635447
10,9,0,-1,3,1234,CCVE,inf,inf,,,,,,
11,9,0,-1,3,1234,CCALPeps,26578.859600000003,26573.2962,0.028174002192769054,0.1525155985555738,0.019310399251657024,0.02817400219276912,0.15251559855557392,0.01931039925165707
12,11,0,-1,3,1234,CVE,,,,,,,,
13,11,0,-1,3,1234,CCVE,,,,,,,,
14,11,0,-1,3,1234,CCALPeps,26015.1718,26009.871,0.04862354873425885,0.11159961031756198,0.039776840948178974,0.04862354873425896,0.11159961031756219,0.039776840948179064
15,13,0,-1,3,1234,CVE,,,,,,,,
16,13,0,-1,3,1234,CCVE,,,,,,,,
17,13,0,-1,3,1234,CCALPeps,36803.826,36797.925800000005,0.03558899156097458,0.12197113322264608,0.042439875216379104,0.035588991560974684,0.12197113322264633,0.04243987521637924
