,N,exovarsize,dovar,seed,method,time,query_time,size
0,2,6,0,1234,CVE,0.8858,0.8790000000000001,0.0
1,2,6,0,1234,CCVE,36.061099999999996,1.9705,0.0
2,2,6,0,1234,CCALP,61.1801,59.861599999999996,2.7755575615628914e-17
3,2,6,0,1234,CCALPeps,224.2235,222.7866,2.591302870086354e-06
4,3,6,0,1234,CVE,0.8659000000000001,0.86,0.0
5,3,6,0,1234,CCVE,65.3544,3.3331000000000004,0.0
6,3,6,0,1234,CCALP,156.4991,154.34369999999998,0.0
7,3,6,0,1234,CCALPeps,622.4551,620.6733,3.401261680768819e-06
8,4,6,0,1234,CVE,1.0906,1.0832000000000002,0.0
9,4,6,0,1234,CCVE,58.677099999999996,4.1028,0.0
10,4,6,0,1234,CCALP,227.9197,225.5404,0.0
11,4,6,0,1234,CCALPeps,1187.7066,1185.5224,3.2330379057463055e-06
12,5,6,0,1234,CVE,1.4952,1.4826000000000001,0.0
13,5,6,0,1234,CCVE,90.2403,10.285,0.0
14,5,6,0,1234,CCALP,284.5013,282.07460000000003,1.1102230246251565e-16
15,5,6,0,1234,CCALPeps,2063.6553,2061.0811000000003,4.8081731635840615e-06
16,6,6,0,1234,CVE,1.7181000000000002,1.7105000000000001,0.0
17,6,6,0,1234,CCVE,78.438,9.5466,0.0
18,6,6,0,1234,CCALP,335.0144,332.5484,0.0
19,6,6,0,1234,CCALPeps,2995.4903,2992.7514,5.4984692714990515e-06
20,7,6,0,1234,CVE,2.2181,2.2073,0.0
21,7,6,0,1234,CCVE,137.0445,21.3066,0.0
22,7,6,0,1234,CCALP,410.0733,407.4449,0.0
23,7,6,0,1234,CCALPeps,4264.9946,4262.298199999999,7.617842318918821e-06
24,8,6,0,1234,CVE,2.6204,2.6101,0.0
25,8,6,0,1234,CCVE,112.7163,24.4996,0.0
26,8,6,0,1234,CCALP,504.84349999999995,502.2892,1.3877787807814457e-17
27,8,6,0,1234,CCALPeps,5761.5079,5758.2798,4.721258924762079e-06
28,9,6,0,1234,CVE,3.9204999999999997,3.9096,0.0
29,9,6,0,1234,CCVE,236.9668,104.1128,0.0
30,9,6,0,1234,CCALP,658.5862999999999,655.5308,0.0
31,9,6,0,1234,CCALPeps,8755.176,8751.8476,7.358487792186175e-06
32,10,6,0,1234,CVE,4.3073999999999995,4.2982,0.0
33,10,6,0,1234,CCVE,209.03090000000003,112.7846,0.0
34,10,6,0,1234,CCALP,730.9318999999999,727.7886000000001,1.1102230246251565e-16
35,10,6,0,1234,CCALPeps,9588.5799,9585.1601,9.107546957728974e-06
36,11,6,0,1234,CVE,9.428700000000001,9.4144,0.0
37,11,6,0,1234,CCVE,435.49269999999996,323.9094,0.0
38,11,6,0,1234,CCALP,817.5662,814.3877,5.551115123125783e-17
39,11,6,0,1234,CCALPeps,16279.7054,16276.285800000001,8.837614941270555e-06
