,N,dovar,target,obsvar,seed,method,time,query_time,size,lowerbound,upperbound
0,5,0,-1,,1234,CVE,2.1513999999999998,2.1303,0.0,0.6225433600000001,0.6225433600000001
1,5,0,-1,,1234,CCVE,141.3502,24.357300000000002,0.0,0.62254336,0.62254336
2,5,0,-1,,1234,CCALP,251.3684,248.78629999999998,0.0,0.62254336,0.62254336
3,5,0,-1,,1234,CCALPeps,637.1974,634.8064,5.000009998812338e-06,0.6225417257571062,0.622546725767105
4,6,0,-1,,1234,CVE,3.1328,3.112,0.0,0.5166184960000002,0.5166184960000002
5,6,0,-1,,1234,CCVE,260.9706,120.9481,0.0,0.516618496,0.516618496
6,6,0,-1,,1234,CCALP,335.3703,332.7799,0.0,0.516618496,0.516618496
7,6,0,-1,,1234,CCALPeps,887.7946,885.1759,6.000014998930326e-06,0.5166155245099936,0.5166215245249924
8,7,0,-1,,1234,CVE,8.005700000000001,7.9871,0.0,0.3458020224000002,0.3458020224000002
9,7,0,-1,,1234,CCVE,592.9827,460.2442,0.0,0.3458020224,0.3458020224
10,7,0,-1,,1234,CCALP,346.3689,343.8628,0.0,0.3458020224,0.3458020224
11,7,0,-1,,1234,CCALPeps,1191.8115,1189.1408999999999,7.0000209986376126e-06,0.3457977051223454,0.34580470514334405
12,8,0,-1,,1234,CVE,26.875400000000003,26.8525,0.0,0.8488778179840002,0.8488778179840002
13,8,0,-1,,1234,CCVE,3452.1751000000004,3287.2222,0.0,0.8488778179840001,0.8488778179840001
14,8,0,-1,,1234,CCALP,461.5589,458.946,1.1102230246251565e-16,0.8488778179840001,0.8488778179840001
15,8,0,-1,,1234,CCALPeps,1456.3710999999998,1453.5392,8.000027998655845e-06,0.8488758876508428,0.8488838876788414
16,9,0,-1,,1234,CVE,140.9168,140.8893,0.0,0.6628337351440002,0.6628337351440002
17,9,0,-1,,1234,CCVE,17565.8922,17375.7579,0.0,0.662833735144,0.662833735144
18,9,0,-1,,1234,CCALP,519.9193,517.0215000000001,1.1102230246251565e-16,0.6628337351439999,0.662833735144
19,9,0,-1,,1234,CCALPeps,1705.2394,1702.0741000000003,9.000035998751877e-06,0.6628300113306247,0.6628390113666234
20,10,0,-1,,1234,CVE,715.4582,715.4282000000001,0.0,0.8134002142940581,0.8134002142940581
21,10,0,-1,,1234,CCVE,83134.7598,82920.6498,0.0,0.8134002142940575,0.8134002142940575
22,10,0,-1,,1234,CCALP,592.6676,589.5872999999999,1.1102230246251566e-17,0.8134002142940575,0.8134002142940575
23,10,0,-1,,1234,CCALPeps,2094.1367,2090.6288,1.0000044998892398e-05,0.8133977109708516,0.8134077110158504
24,11,0,-1,,1234,CVE,4466.038,4465.996300000001,0.0,0.13915850582392608,0.13915850582392608
25,11,0,-1,,1234,CCVE,inf,inf,,,
26,11,0,-1,,1234,CCALP,687.5372,684.5011999999999,2.7755575615628914e-17,0.13915850582392594,0.13915850582392597
27,11,0,-1,,1234,CCALPeps,2393.4589,2389.7744,1.100005499856671e-05,0.13914986325991802,0.1391608633149166
28,12,0,-1,,1234,CVE,27684.486599999997,27684.437599999997,0.0,0.8725952577241902,0.8725952577241902
29,12,0,-1,,1234,CCVE,inf,inf,,,
30,12,0,-1,,1234,CCALP,747.3279,743.7711999999999,2.220446049250313e-16,0.8725952577241894,0.8725952577241898
31,12,0,-1,,1234,CCALPeps,2682.3949000000002,2678.4786,1.2000065998685194e-05,0.8725923132050208,0.8726043132710195
32,13,0,-1,,1234,CVE,,,,,
33,13,0,-1,,1234,CCVE,inf,inf,,,
34,13,0,-1,,1234,CCALP,837.0029000000001,833.2894,1.1102230246251565e-16,0.8337999999999999,0.8338000000000001
35,13,0,-1,,1234,CCALPeps,3026.9275000000002,3022.755,1.300007799820424e-05,0.8337966641739495,0.8338096642519476
36,14,0,-1,,1234,CVE,,,,,
37,14,0,-1,,1234,CCVE,inf,inf,,,
38,14,0,-1,,1234,CCALP,967.3557000000001,963.4011,0.0,0.9783380000000002,0.9783380000000002
39,14,0,-1,,1234,CCALPeps,3027.8673,3023.821,1.4000090998333992e-05,0.9783367282894728,0.9783507283804711
