,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
0,3,0,-1,3,1234,CVE,2.4055999999999997,1.9411999999999998,0.15680000000000002,0.15680000000000002,0.00012307692307692307,0.00012307692307692307,0.04307692307692308,0.04307692307692308
1,3,0,-1,3,1234,CCVE,108.58780000000002,5.2414000000000005,0.1568,0.1568,0.00012307692307692307,0.00012307692307692307,0.043076923076923075,0.043076923076923075
2,3,0,-1,3,1234,CCALPeps,3195.8926,3192.9916,0.15677064061234808,0.1567706406123482,0.00012524708594302444,0.0001252470859430246,0.04310411230170881,0.04310411230170892
3,4,0,-1,3,1234,CVE,3.9312000000000005,3.3982,0.014045930191726948,0.014045930191726948,0.16904385031360242,0.16904385031360242,0.01691021949467065,0.01691021949467065
4,4,0,-1,3,1234,CCVE,136.017,11.1524,0.014045930191726947,0.014045930191726947,0.1690438503136024,0.1690438503136024,0.01691021949467065,0.01691021949467065
5,4,0,-1,3,1234,CCALPeps,6718.4592,6714.4326,0.01405873963383027,0.014058739633830294,0.1689907098043165,0.16899070980431655,0.0169505505618532,0.016950550561853225
6,5,0,-1,3,1234,CVE,8.5606,8.033199999999999,0.05097135468262824,0.05097135468262824,0.1426964347164145,0.1426964347164145,0.0063322106009572774,0.0063322106009572774
7,5,0,-1,3,1234,CCVE,233.1456,79.239,0.050971354682628235,0.050971354682628235,0.14269643471641452,0.14269643471641452,0.0063322106009572774,0.0063322106009572774
8,5,0,-1,3,1234,CCALPeps,11588.349600000001,11584.1256,0.05098039148044335,0.050980391480443435,0.14266632487106454,0.14266632487106462,0.006353283648492002,0.006353283648492023
9,6,0,-1,3,1234,CVE,28.094399999999997,27.436799999999998,0.05633641537142359,0.05633641537142359,0.0002581425587789424,0.0002581425587789424,0.14340544206979744,0.14340544206979744
10,6,0,-1,3,1234,CCVE,663.7751999999999,491.9026,0.05633641537142359,0.05633641537142359,0.0002581425587789424,0.0002581425587789424,0.14340544206979747,0.14340544206979747
11,6,0,-1,3,1234,CCALPeps,14607.656200000001,14603.2596,0.0563506140282982,0.056350614028298315,0.00028212238625057134,0.00028212238625057205,0.1433672635854511,0.1433672635854512
12,7,0,-1,3,1234,CVE,191.9186,191.2596,0.052044660953410926,0.052044660953410926,0.05305128115982063,0.05305128115982063,0.09490405788676845,0.09490405788676845
13,7,0,-1,3,1234,CCVE,4889.754,4703.190799999999,0.052044660953410926,0.052044660953410926,0.05305128115982062,0.05305128115982062,0.09490405788676845,0.09490405788676845
