,N,dovar,obsvar,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,2,1234,CVE,2.1917999999999997,1.7510000000000001,0.18816857842505477,0.18816857842505477,0.011831421574945225,0.011831421574945225
1,3,0,-1,2,1234,CCVE,62.3442,5.1937999999999995,0.1838952354416272,0.1978530835613555,0.002146916438644496,0.016104764558372807
2,3,0,-1,2,1234,CCALPeps,181.33800000000002,179.12759999999997,0.18389434048250192,0.19784496396770318,0.002155036032296831,0.016105659517498087
3,3,0,-1,2,2468,CVE,2.032,1.6565999999999999,0.2,0.2,0.0,0.0
4,3,0,-1,2,2468,CCVE,60.3192,3.183,0.2,0.2,0.0,0.0
5,3,0,-1,2,2468,CCALPeps,206.094,203.92799999999997,0.19994336325575818,0.19994336325575818,5.663674424181142e-05,5.663674424182174e-05
6,3,0,-1,2,3702,CVE,2.0152,1.6108,0.05,0.05,0.15,0.15
7,3,0,-1,2,3702,CCVE,60.403999999999996,2.5232,0.05,0.05,0.15,0.15
8,3,0,-1,2,3702,CCALPeps,176.81,174.6892,0.05000600219930011,0.0500109967007499,0.14998900329925008,0.14999399780069989
9,3,0,-1,2,4936,CVE,2.222,1.7893999999999999,0.0,0.0,0.2,0.2
10,3,0,-1,2,4936,CCVE,60.6894,2.657,0.0,0.0,0.2,0.2
11,3,0,-1,2,4936,CCALPeps,162.17780000000002,160.0508,5.558636001201257e-06,5.558636001201259e-06,0.1999944413639988,0.1999944413639988
12,3,0,-1,2,6170,CVE,1.9466,1.5894,0.004560260586319219,0.004560260586319219,0.19543973941368079,0.19543973941368079
13,3,0,-1,2,6170,CCVE,60.062,5.7378,0.0034049452776651807,0.006902218570254727,0.19309778142974526,0.1965950547223348
14,3,0,-1,2,6170,CCALPeps,181.52659999999997,179.24500000000003,0.0034278655578141746,0.006901326702976785,0.1930986732970232,0.19657213444218583
15,3,0,-1,2,7404,CVE,2.1436,1.7437999999999998,0.19721448467966574,0.19721448467966574,0.0027855153203342614,0.0027855153203342614
16,3,0,-1,2,7404,CCVE,60.007799999999996,2.6353999999999997,0.19721448467966574,0.19721448467966574,0.002785515320334262,0.002785515320334262
17,3,0,-1,2,7404,CCALPeps,169.6724,167.438,0.19720105626008838,0.19720105626008838,0.00279894373991163,0.0027989437399116362
18,3,0,-1,2,8638,CVE,2.1386000000000003,1.7134,0.1754385964912281,0.1754385964912281,0.024561403508771933,0.024561403508771933
19,3,0,-1,2,8638,CCVE,55.991200000000006,2.7118,0.1754385964912281,0.1754385964912281,0.024561403508771933,0.024561403508771933
20,3,0,-1,2,8638,CCALPeps,159.3622,157.172,0.17542812672874472,0.17543081670985688,0.024569183290143133,0.024571873271255273
21,3,0,-1,2,9872,CVE,2.3256,1.9238,0.08933773548261799,0.08933773548261799,0.11066226451738204,0.11066226451738204
22,3,0,-1,2,9872,CCVE,55.61120000000001,2.2654,0.089337735482618,0.089337735482618,0.11066226451738204,0.11066226451738204
23,3,0,-1,2,9872,CCALPeps,164.34179999999998,162.0062,0.08935080569202859,0.0893508056920286,0.1106491943079714,0.1106491943079714
24,3,0,-1,2,11106,CVE,2.0602,1.655,0.0,0.0,0.2,0.2
25,3,0,-1,2,11106,CCVE,60.806200000000004,2.5460000000000003,0.0,0.0,0.2,0.2
26,3,0,-1,2,11106,CCALPeps,183.1172,181.0336,8.187761075419638e-05,8.187761075419643e-05,0.1999181223892458,0.1999181223892458
27,3,0,-1,2,12340,CVE,1.9898,1.6238,0.2,0.2,0.0,0.0
28,3,0,-1,2,12340,CCVE,59.04580000000001,2.7603999999999997,0.2,0.2,0.0,0.0
29,3,0,-1,2,12340,CCALPeps,196.23760000000001,194.06080000000003,0.19999824490121945,0.1999982474011631,1.7525988369015977e-06,1.7550987805514692e-06
