,N,exovarsize,dovar,seed,method,time,size
0,2,6,0,1234,CVE,1.4076,0.0
1,2,6,0,1234,CCVE,63.6801,0.0
2,2,6,0,1234,CCALP,58.1024,0.0
3,2,6,0,1234,CCALPeps,133.40550000000002,2.12752204894473e-06
4,3,6,0,1234,CVE,1.6136,0.0
5,3,6,0,1234,CCVE,92.52810000000001,0.0
6,3,6,0,1234,CCALP,101.2789,1.1102230246251565e-16
7,3,6,0,1234,CCALPeps,311.45680000000004,3.1053695039973126e-06
8,4,6,0,1234,CVE,2.1519,0.0
9,4,6,0,1234,CCVE,105.92750000000001,0.0
10,4,6,0,1234,CCALP,155.567,0.0
11,4,6,0,1234,CCALPeps,620.8756999999999,3.0865814851344096e-06
