,N,exovarsize,dovar,seed,method,time,query_time,size
0,5,6,0,1234,CVE,1.3946999999999998,1.387,0.0
1,5,6,0,1234,CCVE,83.5823,8.231300000000001,0.0
2,5,6,0,1234,CCALP,283.4903,280.94870000000003,1.1102230246251565e-16
3,5,6,0,1234,CCALPeps,1911.6658,1909.0719000000001,4.884907125579652e-06
4,6,6,0,1234,CVE,1.7881,1.7818,0.0
5,6,6,0,1234,CCVE,83.4759,10.8636,0.0
6,6,6,0,1234,CCALP,337.9234,335.63710000000003,0.0
7,6,6,0,1234,CCALPeps,2876.7028,2874.1924,5.501761877232947e-06
8,7,6,0,1234,CVE,2.1777,2.1713999999999998,0.0
9,7,6,0,1234,CCVE,121.23420000000002,19.4732,0.0
10,7,6,0,1234,CCALP,398.6034,396.1372,0.0
11,7,6,0,1234,CCALPeps,4333.9186,4331.1764,7.602939623951865e-06
12,8,6,0,1234,CVE,2.5545,2.5383,0.0
13,8,6,0,1234,CCVE,112.37929999999999,23.063200000000002,0.0
14,8,6,0,1234,CCALP,462.43850000000003,459.95910000000003,2.4980018054066023e-17
15,8,6,0,1234,CCALPeps,5633.2156,5630.5232000000005,4.716420672082333e-06
16,9,6,0,1234,CVE,3.603,3.5951999999999997,0.0
17,9,6,0,1234,CCVE,181.7538,79.2551,0.0
18,9,6,0,1234,CCALP,586.2317,583.5767,0.0
19,9,6,0,1234,CCALPeps,8438.608,8435.713800000001,7.358376622601525e-06
20,10,6,0,1234,CVE,4.5592999999999995,4.5442,0.0
21,10,6,0,1234,CCVE,204.3332,110.7752,0.0
22,10,6,0,1234,CCALP,670.3315,667.5776,1.1102230246251565e-16
23,10,6,0,1234,CCALPeps,9055.7375,9052.7556,9.107172218120186e-06
24,11,6,0,1234,CVE,9.2126,9.2035,0.0
25,11,6,0,1234,CCVE,479.10560000000004,369.9373,0.0
26,11,6,0,1234,CCALP,806.2244,803.4959,5.551115123125783e-17
27,11,6,0,1234,CCALPeps,14897.5179,14894.4468,8.859381330184046e-06
28,12,6,0,1234,CVE,10.1414,10.1312,0.0
29,12,6,0,1234,CCVE,782.4113,668.1616,0.009527481599999943
30,12,6,0,1234,CCALP,947.5808999999999,944.0242000000001,0.001493855999999716
31,12,6,0,1234,CCALPeps,13805.998300000001,13802.825,0.0015050034737269958
32,13,6,0,1234,CVE,28.645100000000003,28.635,0.0
33,13,6,0,1234,CCVE,3190.0562,3048.7747,0.0010630919519999393
34,13,6,0,1234,CCALP,930.9521000000001,927.9857,0.00014250874060762754
35,13,6,0,1234,CCALPeps,18046.8878,18043.4731,0.00015137441382879758
36,14,6,0,1234,CVE,48.101600000000005,48.090700000000005,0.0
37,14,6,0,1234,CCVE,3600.8303,3476.906,0.0
38,14,6,0,1234,CCALP,1054.3346,1049.962,1.7208456881689927e-16
39,14,6,0,1234,CCALPeps,20263.428200000002,20260.1079,1.0153778906218935e-05
