,N,exovarsize,dovar,seed,method,time,query_time,size,lowerbound,upperbound
0,6,6,0,1234,CVE,3.567,3.5522,0.0,,
1,6,6,0,1234,CCVE,194.63510000000002,100.9194,0.0,,
2,6,6,0,1234,CCALP,202.1261,198.4752,0.0,,
3,6,6,0,1234,CCALPeps,,,,,
4,7,6,0,1234,CVE,12.5317,12.5171,0.0,,
5,7,6,0,1234,CCVE,inf,inf,,,
6,7,6,0,1234,CCALP,207.50100000000003,203.46689999999998,0.0,,
7,7,6,0,1234,CCALPeps,,,,,
8,8,6,0,1234,CVE,19.6934,19.6786,0.0,,
9,8,6,0,1234,CCVE,3414.3813,3264.7007999999996,0.0,,
10,8,6,0,1234,CCALP,,,,,
11,8,6,0,1234,CCALPeps,,,,,
12,9,6,0,1234,CVE,136.055,136.0354,0.0,,
13,9,6,0,1234,CCVE,16766.018799999998,16639.196799999998,0.0,,
14,9,6,0,1234,CCALP,,,,,
15,9,6,0,1234,CCALPeps,,,,,
16,10,6,0,1234,CVE,640.7007,640.6823,0.0,,
17,10,6,0,1234,CCVE,inf,inf,,,
18,10,6,0,1234,CCALP,inf,inf,,,
19,10,6,0,1234,CCALPeps,inf,inf,,,
20,11,6,0,1234,CVE,inf,inf,,,
21,11,6,0,1234,CCVE,inf,inf,,,
22,11,6,0,1234,CCALP,inf,inf,,,
23,11,6,0,1234,CCALPeps,inf,inf,,,
24,12,6,0,1234,CVE,inf,inf,,,
25,12,6,0,1234,CCVE,inf,inf,,,
26,12,6,0,1234,CCALP,inf,inf,,,
27,12,6,0,1234,CCALPeps,inf,inf,,,
28,13,6,0,1234,CVE,inf,inf,,,
29,13,6,0,1234,CCVE,inf,inf,,,
30,13,6,0,1234,CCALP,inf,inf,,,
31,13,6,0,1234,CCALPeps,inf,inf,,,
32,14,6,0,1234,CVE,inf,inf,,,
33,14,6,0,1234,CCVE,inf,inf,,,
34,14,6,0,1234,CCALP,inf,inf,,,
35,14,6,0,1234,CCALPeps,inf,inf,,,
