,N,seed,method,time,query_time,size,lowerbound,upperbound
0,5,1234,CVE,,,,,
1,5,1234,CCVE,,,,,
2,5,1234,CCALPeps,,,,,
3,6,1234,CVE,,,,,
4,6,1234,CCVE,,,,,
5,6,1234,CCALPeps,,,,,
6,7,1234,CVE,,,,,
7,7,1234,CCVE,,,,,
8,7,1234,CCALPeps,,,,,
9,8,1234,CVE,,,,,
10,8,1234,CCVE,,,,,
11,8,1234,CCALPeps,,,,,
12,9,1234,CVE,,,,,
13,9,1234,CCVE,,,,,
14,9,1234,CCALPeps,,,,,
15,10,1234,CVE,inf,inf,,,
16,10,1234,CCVE,,,,,
17,10,1234,CCALPeps,,,,,
18,11,1234,CVE,,,,,
19,11,1234,CCVE,,,,,
20,11,1234,CCALPeps,inf,inf,,,
21,12,1234,CVE,inf,inf,,,
22,12,1234,CCVE,inf,inf,,,
23,12,1234,CCALPeps,inf,inf,,,
24,13,1234,CVE,inf,inf,,,
25,13,1234,CCVE,,,,,
26,13,1234,CCALPeps,,,,,
27,14,1234,CVE,,,,,
28,14,1234,CCVE,,,,,
29,14,1234,CCALPeps,,,,,
