,N,dovar,obsvar,seed,method,time,query_time,size,lowerbound,upperbound
0,5,0,-1,1234,CVE,2.2115,2.1892,0.0,0.9253716881664275,0.9253716881664275
1,5,0,-1,1234,CCVE,144.5468,25.221799999999998,0.0,0.9253716881664275,0.9253716881664275
2,5,0,-1,1234,CCALPeps,960.2171000000001,957.9493,1.1102230246251565e-16,0.9443987446020042,0.9443987446020042
3,6,0,-1,1234,CVE,3.9719,3.9506,0.0,0.9511876167902436,0.9511876167902436
4,6,0,-1,1234,CCVE,251.5618,115.9944,0.0,0.9511876167902436,0.9511876167902436
5,6,0,-1,1234,CCALPeps,1408.5001,1405.8165000000001,8.881784197001253e-17,0.9477339244571394,0.9477339244571397
6,7,0,-1,1234,CVE,12.2246,12.2039,0.0,0.9510878019665394,0.9510878019665394
7,7,0,-1,1234,CCVE,637.9259,506.9581,0.0,0.9510878019665394,0.9510878019665394
8,7,0,-1,1234,CCALPeps,1829.3033,1826.1001,1.1102230246251565e-16,0.9477339244571394,0.9477339244571397
9,8,0,-1,1234,CVE,52.8645,52.840700000000005,0.0,0.6249724220834801,0.6249724220834801
10,8,0,-1,1234,CCVE,3402.6168,3242.9491000000003,0.0,0.62497242208348,0.62497242208348
11,8,0,-1,1234,CCALPeps,2275.6809000000003,2272.4286,7.438494264988549e-16,0.6225436130428148,0.6225436130428156
12,9,0,-1,1234,CVE,252.4128,252.38939999999997,0.0,0.34103587996602325,0.34103587996602325
13,9,0,-1,1234,CCVE,17748.3854,17551.618300000002,0.0,0.3410358799660232,0.3410358799660232
14,9,0,-1,1234,CCALPeps,2639.4525000000003,2636.1803,5.828670879282072e-16,0.34702525795402045,0.34702525795402106
15,10,0,-1,1234,CVE,1542.5520000000001,1542.5149,0.0,0.04379213235825061,0.04379213235825061
16,10,0,-1,1234,CCVE,87033.6546,86827.10429999999,0.0,0.04379213235825064,0.04379213235825064
17,10,0,-1,1234,CCALPeps,2944.1832000000004,2940.4285,6.938893903907228e-17,0.04367803471558617,0.04367803471558625
18,11,0,-1,1234,CVE,10967.8022,10967.7588,0.0,0.8084042791684029,0.8084042791684029
19,11,0,-1,1234,CCVE,inf,inf,,,
20,11,0,-1,1234,CCALPeps,3241.184,3237.6428,3.4416913763379854e-16,0.8085187344720746,0.8085187344720749
21,12,0,-1,1234,CVE,,,,,
22,12,0,-1,1234,CCVE,inf,inf,,,
23,12,0,-1,1234,CCALPeps,4039.1953999999996,4034.7153,5.551115123125783e-16,0.3804351908799203,0.3804351908799209
24,13,0,-1,1234,CVE,,,,,
25,13,0,-1,1234,CCVE,inf,inf,,,
26,13,0,-1,1234,CCALPeps,4210.039,4205.9083,6.938893903907228e-16,0.34580228452009076,0.34580228452009143
27,14,0,-1,1234,CVE,,,,,
28,14,0,-1,1234,CCVE,inf,inf,,,
29,14,0,-1,1234,CCALPeps,4224.2923,4220.1104,3.3306690738754696e-16,0.8488770966383006,0.848877096638301
