,N,dovar,endovarsize,obsvar,seed,method,time,query_time,size,lowerbound,upperbound
0,3,0,3,-1,1234,CVE,1.482,1.459,0.0,0.7840000000000001,0.7840000000000001
1,3,0,3,-1,1234,CCVE,104.11479999999999,4.6053999999999995,0.0,0.784,0.784
2,3,0,3,-1,1234,CCALPeps,3670.4762,3667.7095999999997,3.3306690738754696e-16,0.7839985319393817,0.7839985319393821
3,4,0,3,-1,1234,CVE,2.6198,2.5998,0.0,0.07022965095863475,0.07022965095863475
4,4,0,3,-1,1234,CCVE,131.17040000000003,12.2848,0.0,0.07022965095863473,0.07022965095863473
5,4,0,3,-1,1234,CCALPeps,,,,,
6,5,0,3,-1,1234,CVE,7.103199999999999,7.0847999999999995,0.0,0.2548567734131412,0.2548567734131412
7,5,0,3,-1,1234,CCVE,220.9844,72.197,0.0,0.25485677341314117,0.25485677341314117
8,5,0,3,-1,1234,CCALPeps,,,,,
9,6,0,3,-1,1234,CVE,29.73,29.7052,0.0,0.28168207685711794,0.28168207685711794
10,6,0,3,-1,1234,CCVE,609.7172,450.5808,0.0,0.2816820768571179,0.2816820768571179
11,6,0,3,-1,1234,CCALPeps,,,,,
12,7,0,3,-1,1234,CVE,197.5232,197.49079999999998,0.0,0.26022330476705463,0.26022330476705463
13,7,0,3,-1,1234,CCVE,inf,inf,,,
14,7,0,3,-1,1234,CCALPeps,,,,,
15,8,0,3,-1,1234,CVE,inf,inf,,,
16,8,0,3,-1,1234,CCVE,,,,,
17,8,0,3,-1,1234,CCALPeps,,,,,
18,9,0,3,-1,1234,CVE,,,,,
19,9,0,3,-1,1234,CCVE,,,,,
20,9,0,3,-1,1234,CCALPeps,,,,,
21,10,0,3,-1,1234,CVE,,,,,
22,10,0,3,-1,1234,CCVE,,,,,
23,10,0,3,-1,1234,CCALPeps,,,,,
24,11,0,3,-1,1234,CVE,,,,,
25,11,0,3,-1,1234,CCVE,,,,,
26,11,0,3,-1,1234,CCALPeps,,,,,
27,12,0,3,-1,1234,CVE,,,,,
28,12,0,3,-1,1234,CCVE,,,,,
29,12,0,3,-1,1234,CCALPeps,,,,,
30,13,0,3,-1,1234,CVE,,,,,
31,13,0,3,-1,1234,CCVE,,,,,
32,13,0,3,-1,1234,CCALPeps,,,,,
33,14,0,3,-1,1234,CVE,,,,,
34,14,0,3,-1,1234,CCVE,,,,,
35,14,0,3,-1,1234,CCALPeps,,,,,
